0 0 1
{
  { 10 100 100 }
  { 100 10 100 }
  { 10 99 100 }
  { 99 10 100 }
  { 10 98 100 }
  { 98 10 100 }
  { 10 97 100 }
  { 97 10 100 }
  { 10 96 100 }
  { 96 10 100 }
  { 10 95 100 }
  { 95 10 100 }
  { 10 94 100 }
  { 94 10 100 }
  { 10 93 100 }
  { 93 10 100 }
  { 10 92 100 }
  { 92 10 100 }
  { 10 91 100 }
  { 91 10 100 }
  { 9 100 100 }
  { 100 9 100 }
  { 9 99 100 }
  { 99 9 100 }
  { 9 98 100 }
  { 98 9 100 }
  { 9 97 100 }
  { 97 9 100 }
  { 9 96 100 }
  { 96 9 100 }
  { 9 95 100 }
  { 95 9 100 }
  { 9 94 100 }
  { 94 9 100 }
  { 9 93 100 }
  { 93 9 100 }
  { 9 92 100 }
  { 92 9 100 }
  { 9 91 100 }
  { 91 9 100 }
  { 8 100 100 }
  { 100 8 100 }
  { 8 99 100 }
  { 99 8 100 }
  { 8 98 100 }
  { 98 8 100 }
  { 8 97 100 }
  { 97 8 100 }
  { 8 96 100 }
  { 96 8 100 }
  { 8 95 100 }
  { 95 8 100 }
  { 8 94 100 }
  { 94 8 100 }
  { 8 93 100 }
  { 93 8 100 }
  { 8 92 100 }
  { 92 8 100 }
  { 8 91 100 }
  { 91 8 100 }
  { 7 100 100 }
  { 100 7 100 }
  { 7 99 100 }
  { 99 7 100 }
  { 7 98 100 }
  { 98 7 100 }
  { 7 97 100 }
  { 97 7 100 }
  { 7 96 100 }
  { 96 7 100 }
  { 7 95 100 }
  { 95 7 100 }
  { 7 94 100 }
  { 94 7 100 }
  { 7 93 100 }
  { 93 7 100 }
  { 7 92 100 }
  { 92 7 100 }
  { 7 91 100 }
  { 91 7 100 }
  { 6 100 100 }
  { 100 6 100 }
  { 6 99 100 }
  { 99 6 100 }
  { 6 98 100 }
  { 98 6 100 }
  { 6 97 100 }
  { 97 6 100 }
  { 6 96 100 }
  { 96 6 100 }
  { 6 95 100 }
  { 95 6 100 }
  { 6 94 100 }
  { 94 6 100 }
  { 6 93 100 }
  { 93 6 100 }
  { 6 92 100 }
  { 92 6 100 }
  { 6 91 100 }
  { 91 6 100 }
  { 5 100 100 }
  { 100 5 100 }
  { 5 99 100 }
  { 99 5 100 }
  { 5 98 100 }
  { 98 5 100 }
  { 5 97 100 }
  { 97 5 100 }
  { 5 96 100 }
  { 96 5 100 }
  { 5 95 100 }
  { 95 5 100 }
  { 5 94 100 }
  { 94 5 100 }
  { 5 93 100 }
  { 93 5 100 }
  { 5 92 100 }
  { 92 5 100 }
  { 5 91 100 }
  { 91 5 100 }
  { 4 100 100 }
  { 100 4 100 }
  { 4 99 100 }
  { 99 4 100 }
  { 4 98 100 }
  { 98 4 100 }
  { 4 97 100 }
  { 97 4 100 }
  { 4 96 100 }
  { 96 4 100 }
  { 4 95 100 }
  { 95 4 100 }
  { 4 94 100 }
  { 94 4 100 }
  { 4 93 100 }
  { 93 4 100 }
  { 4 92 100 }
  { 92 4 100 }
  { 4 91 100 }
  { 91 4 100 }
  { 3 100 100 }
  { 100 3 100 }
  { 3 99 100 }
  { 99 3 100 }
  { 3 98 100 }
  { 98 3 100 }
  { 3 97 100 }
  { 97 3 100 }
  { 3 96 100 }
  { 96 3 100 }
  { 3 95 100 }
  { 95 3 100 }
  { 3 94 100 }
  { 94 3 100 }
  { 3 93 100 }
  { 93 3 100 }
  { 3 92 100 }
  { 92 3 100 }
  { 3 91 100 }
  { 91 3 100 }
  { 2 100 100 }
  { 100 2 100 }
  { 2 99 100 }
  { 99 2 100 }
  { 2 98 100 }
  { 98 2 100 }
  { 2 97 100 }
  { 97 2 100 }
  { 2 96 100 }
  { 96 2 100 }
  { 2 95 100 }
  { 95 2 100 }
  { 2 94 100 }
  { 94 2 100 }
  { 2 93 100 }
  { 93 2 100 }
  { 2 92 100 }
  { 92 2 100 }
  { 2 91 100 }
  { 91 2 100 }
  { 1 100 100 }
  { 100 1 100 }
  { 1 99 100 }
  { 99 1 100 }
  { 1 98 100 }
  { 98 1 100 }
  { 1 97 100 }
  { 97 1 100 }
  { 1 96 100 }
  { 96 1 100 }
  { 1 95 100 }
  { 95 1 100 }
  { 1 94 100 }
  { 94 1 100 }
  { 1 93 100 }
  { 93 1 100 }
  { 1 92 100 }
  { 92 1 100 }
  { 1 91 100 }
  { 91 1 100 }
  { 91 100 100 }
  { 100 91 100 }
  { 91 90 100 }
  { 90 91 100 }
  { 91 80 100 }
  { 80 91 100 }
  { 91 70 100 }
  { 70 91 100 }
  { 91 60 100 }
  { 60 91 100 }
  { 91 50 100 }
  { 50 91 100 }
  { 91 40 100 }
  { 40 91 100 }
  { 91 30 100 }
  { 30 91 100 }
  { 91 20 100 }
  { 20 91 100 }
  { 91 10 100 }
  { 10 91 100 }
  { 81 100 100 }
  { 100 81 100 }
  { 81 90 100 }
  { 90 81 100 }
  { 81 80 100 }
  { 80 81 100 }
  { 81 70 100 }
  { 70 81 100 }
  { 81 60 100 }
  { 60 81 100 }
  { 81 50 100 }
  { 50 81 100 }
  { 81 40 100 }
  { 40 81 100 }
  { 81 30 100 }
  { 30 81 100 }
  { 81 20 100 }
  { 20 81 100 }
  { 81 10 100 }
  { 10 81 100 }
  { 71 100 100 }
  { 100 71 100 }
  { 71 90 100 }
  { 90 71 100 }
  { 71 80 100 }
  { 80 71 100 }
  { 71 70 100 }
  { 70 71 100 }
  { 71 60 100 }
  { 60 71 100 }
  { 71 50 100 }
  { 50 71 100 }
  { 71 40 100 }
  { 40 71 100 }
  { 71 30 100 }
  { 30 71 100 }
  { 71 20 100 }
  { 20 71 100 }
  { 71 10 100 }
  { 10 71 100 }
  { 61 100 100 }
  { 100 61 100 }
  { 61 90 100 }
  { 90 61 100 }
  { 61 80 100 }
  { 80 61 100 }
  { 61 70 100 }
  { 70 61 100 }
  { 61 60 100 }
  { 60 61 100 }
  { 61 50 100 }
  { 50 61 100 }
  { 61 40 100 }
  { 40 61 100 }
  { 61 30 100 }
  { 30 61 100 }
  { 61 20 100 }
  { 20 61 100 }
  { 61 10 100 }
  { 10 61 100 }
  { 51 100 100 }
  { 100 51 100 }
  { 51 90 100 }
  { 90 51 100 }
  { 51 80 100 }
  { 80 51 100 }
  { 51 70 100 }
  { 70 51 100 }
  { 51 60 100 }
  { 60 51 100 }
  { 51 50 100 }
  { 50 51 100 }
  { 51 40 100 }
  { 40 51 100 }
  { 51 30 100 }
  { 30 51 100 }
  { 51 20 100 }
  { 20 51 100 }
  { 51 10 100 }
  { 10 51 100 }
  { 41 100 100 }
  { 100 41 100 }
  { 41 90 100 }
  { 90 41 100 }
  { 41 80 100 }
  { 80 41 100 }
  { 41 70 100 }
  { 70 41 100 }
  { 41 60 100 }
  { 60 41 100 }
  { 41 50 100 }
  { 50 41 100 }
  { 41 40 100 }
  { 40 41 100 }
  { 41 30 100 }
  { 30 41 100 }
  { 41 20 100 }
  { 20 41 100 }
  { 41 10 100 }
  { 10 41 100 }
  { 31 100 100 }
  { 100 31 100 }
  { 31 90 100 }
  { 90 31 100 }
  { 31 80 100 }
  { 80 31 100 }
  { 31 70 100 }
  { 70 31 100 }
  { 31 60 100 }
  { 60 31 100 }
  { 31 50 100 }
  { 50 31 100 }
  { 31 40 100 }
  { 40 31 100 }
  { 31 30 100 }
  { 30 31 100 }
  { 31 20 100 }
  { 20 31 100 }
  { 31 10 100 }
  { 10 31 100 }
  { 21 100 100 }
  { 100 21 100 }
  { 21 90 100 }
  { 90 21 100 }
  { 21 80 100 }
  { 80 21 100 }
  { 21 70 100 }
  { 70 21 100 }
  { 21 60 100 }
  { 60 21 100 }
  { 21 50 100 }
  { 50 21 100 }
  { 21 40 100 }
  { 40 21 100 }
  { 21 30 100 }
  { 30 21 100 }
  { 21 20 100 }
  { 20 21 100 }
  { 21 10 100 }
  { 10 21 100 }
  { 11 100 100 }
  { 100 11 100 }
  { 11 90 100 }
  { 90 11 100 }
  { 11 80 100 }
  { 80 11 100 }
  { 11 70 100 }
  { 70 11 100 }
  { 11 60 100 }
  { 60 11 100 }
  { 11 50 100 }
  { 50 11 100 }
  { 11 40 100 }
  { 40 11 100 }
  { 11 30 100 }
  { 30 11 100 }
  { 11 20 100 }
  { 20 11 100 }
  { 11 10 100 }
  { 10 11 100 }
  { 1 100 100 }
  { 100 1 100 }
  { 1 90 100 }
  { 90 1 100 }
  { 1 80 100 }
  { 80 1 100 }
  { 1 70 100 }
  { 70 1 100 }
  { 1 60 100 }
  { 60 1 100 }
  { 1 50 100 }
  { 50 1 100 }
  { 1 40 100 }
  { 40 1 100 }
  { 1 30 100 }
  { 30 1 100 }
  { 1 20 100 }
  { 20 1 100 }
  { 1 10 100 }
  { 10 1 100 }
}
<END>
